id,title,author,pub_year,publisher,price,img,class
200,Verekuu,Nesbø Jo,2023,Ruslania,US$9.04 ,https://pictures.abebooks.com/inventory/md/md31648338441.jpg,Detective
201,The Myth of Freedom and the Way of Meditation (Shambhala Classics),Chogyam Trungpa,2002,Molly's Brook Books,US$3.00 ,https://pictures.abebooks.com/inventory/md/md22455665211.jpg,Buddhism
202,Destructive Emotions: How Can We Overcome Them? A Scientific Dialogue with the Dalai Lama,Daniel Goleman,2003,Molly's Brook Books,US$10.00 ,https://pictures.abebooks.com/inventory/md/md30352870135.jpg,Buddhism
203,The Vision of the Buddha,"Lowenstein, Tom",1996,Molly's Brook Books,US$15.00 ,https://pictures.abebooks.com/inventory/md/md31532247386.jpg,Buddhism
204,Mind-Seal of the Buddhas: Patriarch Ou-i's Commentary on the Amitabha Sutra,J. C. Cleary,1998,Molly's Brook Books,US$30.00 ,https://pictures.abebooks.com/inventory/md/md31415990777.jpg,Buddhism
205,Dharma Moments,Danai Chanchaochai,2005,Molly's Brook Books,US$7.50 ,https://pictures.abebooks.com/inventory/md/md31416002933.jpg,Buddhism
206,Tree of Life: Buddhism and Protection of Nature,Peter Scott,1987,Molly's Brook Books,US$6.50 ,https://pictures.abebooks.com/inventory/md/md30392869384.jpg,Buddhism
207,The history of Goody Two-Shoes,"Sherwood, Mrs",1830,Stephen Rench,US$45.77 ,https://pictures.abebooks.com/inventory/md/md31643830067.jpg,Chapbooks and broadsides
208,The two dolls,Watts,1826,Stephen Rench,US$45.77 ,https://pictures.abebooks.com/inventory/md/md31402779928.jpg,Chapbooks and broadsides
209,The merry tales of the wise men of Gotham.,"Cameron, Mrs",1785,Stephen Rench,US$104.61 ,https://pictures.abebooks.com/inventory/md/md31403987227.jpg,Chapbooks and broadsides
210,Watts' divine songs in easy language for the use of children,"Cameron, Mrs",1810,Stephen Rench,US$111.15 ,https://pictures.abebooks.com/inventory/md/md31643826301.jpg,Chapbooks and broadsides
211,The adventures of Captain Gulliver,"Watts, Dr",1810,Stephen Rench,US$44.46 ,https://pictures.abebooks.com/inventory/md/md31644670802.jpg,Chapbooks and broadsides
212,The warbler of the woods; a collection of choice songs.,"Watts, Dr",1830,Stephen Rench,US$49.69 ,https://pictures.abebooks.com/inventory/md/md31396230305.jpg,Chapbooks and broadsides
213,"The history of Whittington and his cat, and the story of Puss in boots. 161 [ Dick Whittington ]","Sherwood, Mrs",1850,Stephen Rench,US$104.61 ,https://pictures.abebooks.com/inventory/md/md31399692644.jpg,Chapbooks and broadsides
214,Everybody's Fool: A novel,"Russo, Richard",2016,"Vandello Books, Member IOBA",US$50.00 ,https://pictures.abebooks.com/inventory/md/md19378725722.jpg,Signed & Inscribed
215,The Heaven & Earth Grocery Store: A Novel,"McBride, James",2023,"Vandello Books, Member IOBA",US$35.00 ,https://pictures.abebooks.com/inventory/md/md31638593673.jpg,Signed & Inscribed
216,The Night Circus,"Morgenstern, Erin",2011,"Vandello Books, Member IOBA",US$35.00 ,https://pictures.abebooks.com/inventory/md/md31497393251.jpg,Signed & Inscribed
217,Backcloth. The Final Volume of His Autobiography,Dirk Bogarde,1986,The London Bookworm,US$26.36 ,https://pictures.abebooks.com/isbn/9780670811328-us-300.jpg,Modern First Editions
218,The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$32.96 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions
219,The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$56.49 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions
220,The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$37.65 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions
221,The House of Doctor Dee,"Ackroyd, Peter",1993,The London Bookworm,US$47.07 ,https://pictures.abebooks.com/isbn/9780241125007-us-300.jpg,Modern First Editions
222,Encyclopedia of World Military Aircraft - Single Volume Edition,"Donald, Jon Lake, David",1996,Maynard & Bradley,US$20.86 ,https://pictures.abebooks.com/inventory/md/md31543340188.jpg,Politics & Government
223,Vorlesungen zur Geschichtstheorie 1 (Signed),"Kluxen, Kurt",1974,Maynard & Bradley,US$20.86 ,https://pictures.abebooks.com/inventory/md/md31491287972.jpg,Politics & Government
224,Ernst Kaltenbrunner: Ideological Soldier of the Third Reich,"Black, Peter R.",1984,Maynard & Bradley,US$48.32 ,https://pictures.abebooks.com/inventory/md/md31148728921.jpg,Politics & Government
225,Russia and Germany: A Century of Conflict (1965),"Laqueur, Walter",1965,Maynard & Bradley,US$28.70 ,https://pictures.abebooks.com/inventory/md/md31156745590.jpg,Politics & Government
226,"Starry Messenger: A Book Depicting the Life of a Famous Scientist, Mathematician, Astronomer, Phi...","Sis, Peter",1996,"Crooked House Books & Paper, CBA",US$12.00 ,https://pictures.abebooks.com/inventory/md/md31256761322.jpg,Children's Picture Books
227,Old Possum's Book of Practical Cats.,"(Edward Gorey) ELIOT, T. S.",1982,"Grendel Books, ABAA/ILAB",US$125.00 ,https://pictures.abebooks.com/inventory/md/md30975390503.jpg,Nobel Prize Winners
228,Time of the Hero.,"VARGAS LLOSA, Mario.",1966,"Grendel Books, ABAA/ILAB",US$250.00 ,https://pictures.abebooks.com/inventory/md/md3571728009.jpg,Nobel Prize Winners
229,The Unconsoled.,"ISHIGURO, Kazuo.",1995,"Grendel Books, ABAA/ILAB",US$150.00 ,https://pictures.abebooks.com/isbn/9780679404255-us-300.jpg,Nobel Prize Winners
230,Song of Solomon.,"MORRISON, Toni.",1995,"Grendel Books, ABAA/ILAB",US$100.00 ,https://pictures.abebooks.com/isbn/9780679445043-us-300.jpg,Nobel Prize Winners
231,Unattainable Earth.,"MILOSZ, Czeslaw.",1986,"Grendel Books, ABAA/ILAB",US$25.00 ,https://pictures.abebooks.com/isbn/9780880010986-us-300.jpg,Nobel Prize Winners
232,"Collected Poems, 1948-1984.","WALCOTT, Derek.",1992,"Grendel Books, ABAA/ILAB",US$45.00 ,https://pictures.abebooks.com/isbn/9780374126261-us-300.jpg,Nobel Prize Winners
233,Usagi Yojimbo Volume 23: Bridge of Tears,"Sakai, Stan",2009,Recycle Bookstore,US$12.50 ,https://pictures.abebooks.com/isbn/9781595822970-us-300.jpg,Manga Box
234,The Ghost in the Shell Vol. 1 (Koukaku Kidoutai) (in Japanese),"Masamune, Shiro",1991,Recycle Bookstore,US$19.95 ,https://pictures.abebooks.com/isbn/9784063132489-us-300.jpg,Manga Box
235,"Vampire Knight, Vol. 19 (19)","Hino, Matsuri (Author)",2014,Recycle Bookstore,US$45.00 ,https://pictures.abebooks.com/isbn/9781421573915-us-300.jpg,Manga Box
236,Alien Nine: Emulators,"Tomizawa, Hitoshi (Author, Artist)",2003,Recycle Bookstore,US$29.95 ,https://pictures.abebooks.com/isbn/9781586649241-us-300.jpg,Manga Box
237,"K-ON!, Vol. 4",Kakifly,2011,Recycle Bookstore,US$14.95 ,https://pictures.abebooks.com/isbn/9780316188357-us-300.jpg,Manga Box
238,"GTO: Great Teacher Onizuka, Vol. 4","Fujisawa, Tohru (Author)",2002,Recycle Bookstore,US$24.00 ,https://pictures.abebooks.com/isbn/9781591820284-us-300.jpg,Manga Box
239,"The Hobbit, or There and back again","Tolkien, J. R. R.",1968,MacKellar Art &  Books,US$124.22 ,https://pictures.abebooks.com/inventory/md/md31513908942.jpg,Children's Illustrated Books
240,East of the Sun and West of the Moon,"Lindsay, Hilarie",1983,MacKellar Art &  Books,US$65.38 ,https://pictures.abebooks.com/inventory/md/md31221917390.jpg,Children's Illustrated Books
241,Mr Poppleberry and Fred the White Cockatoo,Kathleen Hale,1990,MacKellar Art &  Books,US$45.77 ,https://pictures.abebooks.com/inventory/md/md6161147797.jpg,Children's Illustrated Books
242,Orlando the Marmalade Cat Keeps a Dog,Mary Norton,1975,MacKellar Art &  Books,US$948.02 ,https://pictures.abebooks.com/inventory/md/md30437181494.jpg,Children's Illustrated Books
243,Are all the Giants Dead?,"Lindsay, Hilarie",1983,MacKellar Art &  Books,US$39.23 ,https://pictures.abebooks.com/inventory/md/md3049680340.jpg,Children's Illustrated Books
244,Tomb Raider Volume 1 : Season of the Witch,Gail Simone,2014,Firefly Bookstore,US$4.99 ,https://pictures.abebooks.com/isbn/9781616554910-us-300.jpg,Dark Horse
245,ApocalyptiGirl: An Aria for the End Times,Andrew MacLean,2015,Firefly Bookstore,US$7.50 ,https://pictures.abebooks.com/isbn/9781616555665-us-300.jpg,Dark Horse
246,Star Wars: Jango Fett,"Ron Marz,Tom Fowler",2002,Firefly Bookstore,US$49.99 ,https://pictures.abebooks.com/isbn/9781569716236-us-300.jpg,Dark Horse
247,R.I.P.D. Volume 2: City of the Damned,"Peter Lenkov, Jeremy Barlow, Tony Parker",2013,Firefly Bookstore,US$12.95 ,https://pictures.abebooks.com/isbn/9781616551131-us-300.jpg,Dark Horse
248,Apocalypse Suite 1 The Umbrella Academy,Gerard Way,2008,Firefly Bookstore,US$19.99 ,https://pictures.abebooks.com/isbn/9781593079789-us-300.jpg,Dark Horse
249,Dallas 2 The Umbrella Academy,"Gerard Way, Gabriel Ba",2009,Firefly Bookstore,US$8.99 ,https://pictures.abebooks.com/isbn/9781595823458-us-300.jpg,Dark Horse
250,HANG-UPS paintings by jonathan winters,"WINTERS, JONATHAN",1988,27 sellers,US$57.94 ,https://pictures.abebooks.com/isbn/9780394570242-us-300.jpg,Crafts And Hobbies
251,"California Hot Shoes, CRA Sprint Cars 1955-1970, Volume 1",Multiple Contributors,1978,27 sellers,US$30.00 ,https://pictures.abebooks.com/inventory/md/md30907431892.jpg,Crafts And Hobbies
252,Merrick - 1st Edition/1st Printing,"Rice, Anne",2000,22 sellers,US$60.33 ,https://pictures.abebooks.com/inventory/md/md12650394319.jpg,Fiction (Horror)
253,Violin - 1st Trade Edition,"Rice, Anne",1997,22 sellers,US$371.25 ,https://pictures.abebooks.com/inventory/md/md963309900.jpg,Fiction (Horror)
254,Blood and Gold - 1st Edition/1st Printing,"Blatty, William Peter",2001,22 sellers,US$40.00 ,https://pictures.abebooks.com/inventory/md/md30694963399.jpg,Fiction (Horror)
255,Servant of the Bones - Limited B.E. Trice Edition,"Rice, Anne",1996,22 sellers,US$51.05 ,https://pictures.abebooks.com/inventory/md/md963309197.jpg,Fiction (Horror)
256,The Best Of Me - 1st Edition/1st Printing,"Sparks, Nicholas",2011,25 sellers,US$156.62 ,https://pictures.abebooks.com/inventory/md/md6276480615.jpg,Fiction (Romance)
257,The Wedding,"Sparks, Nicholas",2003,25 sellers,US$25.00 ,https://pictures.abebooks.com/isbn/9780446532457-us-300.jpg,Fiction (Romance)
258,Message in a Bottle - 1st Edition/1st Printing,"Lyall, David [aka Annie S Swan]",1998,25 sellers,US$79.95 ,https://pictures.abebooks.com/inventory/md/md7758235339.jpg,Fiction (Romance)
259,At First Sight - 1st Edition/1st Printing,"Sparks, Nicholas",2005,25 sellers,US$25.00 ,https://pictures.abebooks.com/inventory/md/md21829825718.jpg,Fiction (Romance)
260,A Bend in the Road,"Sparks, Nicholas",2001,25 sellers,US$40.43 ,https://pictures.abebooks.com/isbn/9780446527781-us-300.jpg,Fiction (Romance)
261,HOUSE OF LEAVES,"DANIELEWSKI, MARK Z.",2000,272 sellers,"US$1,250.00 ",https://pictures.abebooks.com/inventory/md/md31365001941.jpg,Horror
262,PET SEMATARY (signed 1st),BRAM STOKER,1983,272 sellers,US$27.00 ,https://pictures.abebooks.com/inventory/md/md9906635603.jpg,Horror
263,THE STAND (SIGNED AND INSCRIBED),"Ketchum, Jack",1978,272 sellers,US$39.00 ,https://pictures.abebooks.com/inventory/md/md31323249763.jpg,Horror
264,Prince Lestat: The Vampire Chronicles,"King, Stephen",2014,272 sellers,"US$1,495.00 ",https://pictures.abebooks.com/inventory/md/md31491312545.jpg,Horror
265,Spook Country,"King, Stephen",2007,272 sellers,US$79.12 ,https://pictures.abebooks.com/isbn/9780399154300-us-300.jpg,Horror
266,The Killing Kind,"King, Stephen; Whelan, Michael [Illustrations]",2001,272 sellers,US$25.00 ,https://pictures.abebooks.com/isbn/9780340771204-us-300.jpg,Horror
267,Drums of Autumn,"Gabaldon, Diana",1997,13 sellers,US$25.00 ,https://pictures.abebooks.com/isbn/9780385311403-us-300.jpg,Historical Romance
268,"MAY AND JUNE, A ROMANCE OF THE REVOLUTION","Bittner, Rosanne",1888,13 sellers,US$60.00 ,https://pictures.abebooks.com/inventory/md/md30894375201.jpg,Historical Romance
269,PASSION'S PRIZE,"Rhodes, Jewell Parker",1990,13 sellers,US$1.00 ,https://pictures.abebooks.com/isbn/9780821731116-us-300.jpg,Historical Romance
270,Shlomo Zabludowicz. Holokaustin kauhuista salaperäiseksi suomalaismiljardööriksi,Thomas H. Raddall,2021,13 sellers,US$4.75 ,https://pictures.abebooks.com/inventory/md/md31539767611.jpg,Historical Romance
271,Natsit tiesivät nimeni. Tarina selviytymisestä ja rohkeudesta Auschwitzissa,"Roe, Edward P.",2022,13 sellers,US$1.35 ,https://pictures.abebooks.com/inventory/md/md31539776196.jpg,Historical Romance
272,Lupauksen voima. Kuinka selviydyin Auschwitzista ja säilytin elämänhaluni,"PELTON, Sonya T.",2022,13 sellers,US$4.20 ,https://pictures.abebooks.com/inventory/md/md31539779996.jpg,Historical Romance
273,The Cat in the Hat,Dr. Seuss,1958,45 sellers,US$491.11 ,https://pictures.abebooks.com/inventory/md/md30944390159.jpg,Signed First Editions
274,Bewilderment,"Towles, Amor",1974,45 sellers,US$55.00 ,https://pictures.abebooks.com/inventory/md/md31416882688.jpg,Signed First Editions
275,The Art of Michael Whelan,"BROWN, Pierce",2001,45 sellers,US$68.00 ,https://pictures.abebooks.com/inventory/md/md22903682828_2.jpg,Signed First Editions
276,Twenty Poems,Richard Matheson,1988,45 sellers,"US$1,850.00 ",https://pictures.abebooks.com/inventory/md/md31573515578.jpg,Signed First Editions
277,"The Information: A History, A Theory, A Flood","Powers, Richard",2002,45 sellers,US$295.00 ,https://pictures.abebooks.com/inventory/md/md31033391035.jpg,Signed First Editions
278,BIRDS. The Paintings of Terance James Bond. Signed Limited Edition,"Michener, James A.",2021,45 sellers,US$950.00 ,https://pictures.abebooks.com/inventory/md/md31350945142.jpg,Signed First Editions
279,MURDER BY OWL LIGHT,"SAWYER, Corinne Holt",1992,2 sellers,US$27.26 ,https://pictures.abebooks.com/inventory/md/md22541079964.jpg,Fiction (Crime Fiction)
280,TWO FOR THE LIONS,"DAVIES, Lindsey",1998,2 sellers,US$8.18 ,https://pictures.abebooks.com/inventory/md/md22427935459.jpg,Fiction (Crime Fiction)
281,13 FOR LUCK! : A Selection of Mystery Stories,"DAVIS, Lindsey",1966,2 sellers,US$6.82 ,https://pictures.abebooks.com/inventory/md/md16263425711.jpg,Fiction (Crime Fiction)
282,Drawing Conclusions,"DAVIS, Lindsey",2011,2 sellers,US$6.82 ,https://pictures.abebooks.com/inventory/md/md31623695194.jpg,Fiction (Crime Fiction)
283,Nemesis,"DAVIS, Lindsey",2008,2 sellers,US$6.82 ,https://pictures.abebooks.com/inventory/md/md31411389002.jpg,Fiction (Crime Fiction)
284,Coffin Road,"SAWYER, Corinne Holt",2016,2 sellers,US$51.12 ,https://pictures.abebooks.com/inventory/md/md31022431122.jpg,Fiction (Crime Fiction)
285,The Lord of the Rings. The Fellowship of the Ring; The Two Towers; The Return of the King,"Tolkien, J. R. R.",1954,218 sellers,"US$135,000.00 ",https://pictures.abebooks.com/inventory/md/md31597460110.jpg,Signed
286,American Dirt: A Novel ***AUTHOR SIGNED***,"Morrison, Toni",2020,218 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31405139935.jpg,Signed
287,Rosa Parks: My Story,Bonnie Garmus,1992,218 sellers,US$81.47 ,https://pictures.abebooks.com/inventory/md/md31586781925.jpg,Signed
288,The Invention of Hugo Cabret,"Doerr, Anthony",2007,218 sellers,US$40.00 ,https://pictures.abebooks.com/isbn/9780439813785-us-300.jpg,Signed
289,The Maidens: A Novel *** AUTHOR SIGNED ARC,"Cummins, Jeanine",2021,218 sellers,US$45.00 ,https://pictures.abebooks.com/inventory/md/md31479263917.jpg,Signed
290,The Fault in Our Stars,"Davis, Angela",2012,218 sellers,US$79.35 ,https://pictures.abebooks.com/inventory/md/md31377301995.jpg,Signed
291,March: A Novel ***AUTHOR SIGNED***,"Lawrence, Jacob [Art]; Peter T. Nesbett [Editor]; Michell...",2005,218 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31395207125.jpg,Signed
292,Cloud Cuckoo Land,Anthony Doerr,2021,150 sellers,US$76.00 ,https://pictures.abebooks.com/inventory/md/md31132046727.jpg,First Editions
293,Our Missing Hearts,Jeanine Cummins,2022,150 sellers,US$61.00 ,https://pictures.abebooks.com/inventory/md/md31350892116.jpg,First Editions
294,The Candy House,"Fitzgerald, F. Scott",2022,150 sellers,US$62.00 ,https://pictures.abebooks.com/inventory/md/md31418132207.jpg,First Editions
295,Audition: A Memoir,"Hughes, Langston",2008,150 sellers,US$49.00 ,https://pictures.abebooks.com/inventory/md/md31521153266.jpg,First Editions
296,Go Tell the Bees That I Am Gone,Celeste Ng,2021,150 sellers,US$59.00 ,https://pictures.abebooks.com/inventory/md/md31082945809.jpg,First Editions
297,The Water Dancer,Emiliy St. John Mandel,2019,150 sellers,US$64.00 ,https://pictures.abebooks.com/inventory/md/md30865008951.jpg,First Editions
298,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David",2023,109 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31649779690.jpg,Modern First Editions
299,A Gentleman in Moscow: A Novel,"Grann, David",2016,109 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31649782672.jpg,Modern First Editions
300,Circe,"Wilkerson, Isabel",2018,109 sellers,US$125.00 ,https://pictures.abebooks.com/inventory/md/md31435058152.jpg,Modern First Editions
301,What Do You Care What Other People Think?: Further Adventures of a Curious Character,"Westover, Tara",1988,109 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31498096980.jpg,Modern First Editions
302,The Song of the Cell: An Exploration of Medicine and the New Human,"Towles, Amor",2022,109 sellers,US$85.00 ,https://pictures.abebooks.com/inventory/md/md31649789965.jpg,Modern First Editions
303,Freewater (Newbery & Coretta Scott King Award Winner),"Owens, Delia",2022,109 sellers,US$55.00 ,https://pictures.abebooks.com/inventory/md/md31547648154.jpg,Modern First Editions
304,Night of the Living Rez,"Ng, Celeste",2022,109 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md31705750372.jpg,Modern First Editions
305,The Art of Engraving,"Meek, James B.",1973,82 sellers,US$32.69 ,https://pictures.abebooks.com/inventory/md/md31552748285.jpg,Crafts & Hobbies
306,Tom Tichenor's Puppets,"[Minnelli, Liza]",1971,82 sellers,US$20.00 ,https://pictures.abebooks.com/inventory/md/md317131132.jpg,Crafts & Hobbies
307,"Prihynur og langsjöl - Icelandic edition, signed","Ackley, Edith Flack",1988,82 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31133417559.jpg,Crafts & Hobbies
308,"The Art of Fair Isle: History, Technique, Color & Patterns",Baird Bill,1996,82 sellers,US$84.99 ,https://pictures.abebooks.com/inventory/md/md31493087233.jpg,Crafts & Hobbies
309,From Felt to Fabric: New Techniques in Nuno Felting (Signed),"Tichenor, Tom",2011,82 sellers,US$32.69 ,https://pictures.abebooks.com/inventory/md/md30688225011.jpg,Crafts & Hobbies
310,"Flip! for Decorating: A Page-by-Page, Piece-by-Piece, Room-by-Room Guide to Transforming Your Home","Crow, Nancy",2009,82 sellers,US$20.00 ,https://pictures.abebooks.com/inventory/md/md19340045896.jpg,Crafts & Hobbies
311,CALENDAR CLOCKS (with 1993 & 2000 Price Updates),"Miller, Marie S.",1993,82 sellers,US$95.00 ,https://pictures.abebooks.com/inventory/md/md30447622427.jpg,Crafts & Hobbies
